cohort,predictor,pathway,family,analysis,n,partial_rho,p_value,hc3_beta,hc3_se,hc3_p_value,fdr_bh,hc3_fdr_bh
GSE176078,state_residual,lipid_metabolism,primary,drop_signature_overlap,25,0.7565782496729271,1.20815894209966e-05,0.7275881309780254,0.1649571370071884,1.0300327832433817e-05,3.0203973552491497e-05,1.716721305405636e-05
GSE176078,state_residual,phagolysosome,primary,drop_signature_overlap,25,0.7270533175766702,3.839828637066322e-05,0.6791200791609437,0.14724626527736948,3.985484539106811e-06,6.399714395110537e-05,9.963711347767028e-06
GSE176078,state_residual,ECM_remodelling,primary,drop_signature_overlap,25,0.7672249642853703,7.649156443997789e-06,0.7393397490954934,0.12057507546909799,8.690161743803286e-10,3.0203973552491497e-05,4.345080871901643e-09
GSE176078,state_residual,T_cell_exclusion_like,primary,drop_signature_overlap,25,0.4024935450748451,0.04607377702961409,0.5106149864137404,0.1424610961357615,0.00033805906434578845,0.05759222128701762,0.00042257383043223554
GSE176078,state_residual,antigen_presentation,primary,drop_signature_overlap,25,0.00534937922117432,0.9797537422229484,-0.16998000634844818,0.1452091549934903,0.24176466675439456,0.9797537422229483,0.2417646667543946
GSE176078,state_residual,efferocytosis,secondary,drop_signature_overlap,25,-0.03488025968440056,0.8685327019386717,0.12946927270587535,0.20369950938406747,0.5250440041711721,0.8685327019386717,0.5250440041711721
GSE176078,state_residual,MAPK_ERK_immediate_early,secondary,drop_signature_overlap,25,-0.47887312890950434,0.015444006196790053,-0.3963781249417292,0.23218355068579646,0.08778939277767049,0.03861001549197513,0.21947348194417624
GSE176078,state_residual,p38_stress_response,secondary,drop_signature_overlap,25,-0.34878968918524716,0.08748749812278032,-0.34163806206721803,0.24668257340304192,0.16607391523332282,0.14581249687130055,0.2767898587222047
GSE176078,state_residual,STING_typeI_IFN_response,secondary,drop_signature_overlap,25,0.1143763894070586,0.586169243415096,0.2871766858035356,0.2576796780959125,0.2650769171330948,0.73271155426887,0.3313461464163685
GSE176078,state_residual,dysfunction_tolerization,secondary,drop_signature_overlap,25,0.5196716282771757,0.007757307448058502,0.5324169037007737,0.12578550313390094,2.3086482619066014e-05,0.03861001549197513,0.00011543241309533007
GSE176078,ARL11_prevalence_residual,lipid_metabolism,primary,drop_signature_overlap,25,-0.36034615571549206,0.07681295116939857,-0.1855286878461069,0.17468700612240012,0.2882068724817436,0.38406475584699284,0.7205171812043589
GSE176078,ARL11_prevalence_residual,phagolysosome,primary,drop_signature_overlap,25,-0.0593152333660838,0.7782192232162155,-0.0536360210691167,0.1808559663148814,0.7667966449583112,0.8287856096541566,0.7667966449583112
GSE176078,ARL11_prevalence_residual,ECM_remodelling,primary,drop_signature_overlap,25,-0.04556208848298706,0.8287856096541565,-0.10627453889606714,0.2660691400370124,0.6895804287764311,0.8287856096541566,0.7667966449583112
GSE176078,ARL11_prevalence_residual,T_cell_exclusion_like,primary,drop_signature_overlap,25,-0.07558733522412094,0.7195187029182076,-0.2212112423797428,0.18157724816250934,0.22311902598732603,0.8287856096541566,0.7205171812043589
GSE176078,ARL11_prevalence_residual,antigen_presentation,primary,drop_signature_overlap,25,-0.07725269410305761,0.7135910512251649,0.08594972430737127,0.1428882345476201,0.547495589301451,0.8287856096541566,0.7667966449583112
GSE176078,ARL11_prevalence_residual,efferocytosis,secondary,drop_signature_overlap,25,-0.1708116662804805,0.4142947770512114,-0.18262718439347547,0.27021424567595614,0.49912910290685286,0.9167374302360471,0.9345854433303362
GSE176078,ARL11_prevalence_residual,MAPK_ERK_immediate_early,secondary,drop_signature_overlap,25,0.029354382702652948,0.8892230802436571,-0.01788892042526446,0.21795277145295192,0.9345854433303362,0.9167374302360471,0.9345854433303362
GSE176078,ARL11_prevalence_residual,p38_stress_response,secondary,drop_signature_overlap,25,0.15587127368623083,0.45686318203017046,0.021336558066185254,0.18695150190832902,0.909135660500661,0.9167374302360471,0.9345854433303362
