gene,gse176_logFC,gse176_SE,gse176_P.Value,gse176_adj.P.Val,gse176_AveExpr,gse176_sensitivity_logFC,gse176_sensitivity_FDR,gse161_logFC,gse161_SE,gse161_P.Value,gse161_adj.P.Val,gse161_AveExpr,gse161_sensitivity_logFC,gse161_sensitivity_FDR,meta_logFC,meta_SE,meta_p,tau2,I2,meta_FDR,same_positive_direction,sensitivity_same_positive,tier_A,tier_B,min_cohort_logFC,worst_cohort_FDR
CTSB,0.663877516727777,0.0722578651202332,2.53974762704547e-10,1.90464140377563e-07,11.7013221010606,0.660356783093197,3.90060494832218e-06,0.765814524619381,0.0729220411144793,5.30338976791454e-14,7.59180245276967e-11,11.2409795928347,0.795431775553505,6.759110584373279e-12,0.7143796841235892,0.05132723670478858,4.915271887451782e-44,0.0,0.0,1.694294219604629e-40,True,True,True,False,0.663877516727777,1.90464140377563e-07
LPL,2.74761889920292,0.28119142341297,3.2262795946565303e-09,9.80876193521387e-07,4.62949001543887,2.85538395835708,8.9788211168901e-06,2.11333878926773,0.254046583524213,4.76817291221214e-09,5.8090549138993e-07,4.88681572094644,2.18274468832995,2.25810488173964e-06,2.4190257419126207,0.31693318051607466,2.300571480296939e-14,0.12935148732902968,64.30418478333344,4.1737209960966044e-12,True,True,True,False,2.11333878926773,9.80876193521387e-07
VAT1,0.833151804195026,0.103152778096695,3.6043565332111203e-09,1.04416974894757e-06,6.70577179404977,0.819670206451745,1.10342631401647e-06,0.846525969615191,0.111611934110059,9.70147334588116e-10,1.65822795159748e-07,6.03217566336046,0.879456199443686,1.15318238856991e-08,0.8393129210495366,0.07575425154790016,1.5789783201239208e-28,0.0,0.0,1.3606845673667886e-25,True,True,True,False,0.833151804195026,1.04416974894757e-06
FABP5,1.44989068448517,0.147171535709564,7.399214054868721e-09,1.69864814088201e-06,9.58887979977168,1.47445179293835,1.10342631401647e-06,0.733560508470578,0.095495144580047,6.91079685946061e-10,1.29741714154988e-07,9.67229753338747,0.71710328040777,1.09228834885589e-05,1.082972553045782,0.3580581160900421,0.0024898519804004405,0.2411750687538105,94.00174453286546,0.022025285995997394,True,True,True,False,0.733560508470578,1.69864814088201e-06
RBP4,2.58586204798605,0.209456121687477,1.32911963612508e-13,1.4951266786771e-09,2.79628762422234,2.66536966255508,1.26141295797697e-08,1.69197181989186,0.244910162219715,2.15825075338685e-08,1.99324900224083e-06,2.8761468385834,1.73209452356004,5.56684702657909e-06,2.147927615642274,0.44685427444057435,1.533850307434545e-06,0.3475934427057182,87.00279231591833,4.7066902163740746e-05,True,True,True,False,1.69197181989186,1.99324900224083e-06
MGLL,1.04134208152252,0.13612517540645,1.13751816401584e-08,2.36961885685448e-06,6.62686661266891,1.07896838512075,1.02570473914019e-05,1.0292404524741,0.136856423578805,1.2133792862216101e-09,2.01385791098694e-07,5.93111239635673,1.09375987535005,7.093394180520791e-09,1.035323683947503,0.09651253106995081,7.573714724294166e-27,0.0,0.0,6.024598766455843e-24,True,True,True,False,1.0292404524741,2.36961885685448e-06
GPNMB,0.957828447762361,0.116094876424779,1.51848550607229e-08,2.95833626351469e-06,9.50864742166091,0.914520458856688,3.52211052942724e-06,0.936855965532142,0.0824429414877643,3.52535782125919e-15,8.07447955381204e-12,9.79053231041503,0.924500166043245,1.94154245957262e-12,0.9438866717508023,0.0672183134587505,8.611517486196185e-45,0.0,0.0,4.4525851162377373e-41,True,True,True,False,0.936855965532142,2.95833626351469e-06
CES1,2.8591667442828,0.334660390353182,3.84626469723679e-08,5.75457494567729e-06,2.80468638409506,2.96254890080438,1.63922309542995e-05,1.483443918627,0.19229960076305,6.16820547070461e-10,1.19725913644931e-07,3.81636037944351,1.49644304437529,4.27530004216285e-07,2.1440402316038614,0.6873208403560213,0.0018120937952345727,0.8718182898527026,92.12851807215003,0.0173027349367689,True,True,True,False,1.483443918627,5.75457494567729e-06
PLA2G7,0.980216822613565,0.133683123721314,5.72474509455452e-08,7.85337287422485e-06,7.42948674005552,0.979185490812304,5.47265760621735e-05,1.10675510236398,0.122108248382431,5.9933851724703494e-12,2.7454498798052202e-09,6.67470338150549,1.08386433728233,7.908797767685e-10,1.0492002747975042,0.09015846324248024,2.6634125156334397e-31,0.0,0.0,3.442793603020675e-28,True,True,True,False,0.980216822613565,7.85337287422485e-06
PPARG,1.26946858552723,0.182485503773459,7.68894521584233e-08,9.71830839696746e-06,4.13855787745587,1.29254666202819,1.25257538809419e-05,1.06136322231612,0.151237952565725,7.08828726491436e-09,8.03713522354448e-07,3.99202138386673,1.01026000322287,2.19453883259985e-06,1.1460997082315976,0.1164452986761498,7.393537327138412e-23,0.0,0.0,4.4974452647022534e-20,True,True,True,False,1.06136322231612,9.71830839696746e-06
PAQR5,2.36266065547275,0.342317215919355,8.95646708658859e-08,1.10715712370368e-05,0.775299232134195,2.43124766785551,6.55917621140527e-05,1.60975447936834,0.228750580576628,6.62224488126399e-09,7.66644280742173e-07,1.7275533094878,1.59460774491961,5.68068843261288e-06,1.9431382911554764,0.37398123608818185,2.0382202409908643e-07,0.19867990279362094,70.09744929304775,8.298124217356901e-06,True,True,True,False,1.60975447936834,1.10715712370368e-05
HS3ST2,2.28629194932241,0.328656241228271,2.0187423894291e-07,1.9746811424946e-05,2.37821760874061,2.40308231486855,5.49920745690087e-05,2.02455303123684,0.183295800352497,9.492085664792411e-15,1.5529052147600398e-11,3.44925559849731,2.0530932991424,5.49105717999801e-11,2.0866502903273907,0.16008253323602536,7.752895777859158e-39,0.0,0.0,2.0043173809710387e-35,True,True,True,False,2.02455303123684,1.9746811424946e-05
RMDN3,1.23705472697453,0.182137814084658,3.57010429389616e-07,2.97482245941022e-05,5.83431541822081,1.23695005704202,0.0005418399333333,1.08982916133333,0.107977599818493,1.98215405991668e-13,2.0636025721969e-10,5.81549699096048,1.11391144540929,5.49105717999801e-11,1.128115992595503,0.09288235461763639,6.050446988927557e-34,0.0,0.0,1.0427945385416645e-30,True,True,True,False,1.08982916133333,2.97482245941022e-05
ATP6V0D2,2.67125849393387,0.34392116865222,9.38411472941462e-09,2.06984130570951e-06,1.46476470378937,2.71832573264659,3.63722548017957e-05,1.28534234156016,0.224921314219652,6.92543807398304e-07,3.30458820096891e-05,2.89383615613336,1.21626204619209,0.000213579713599,1.9538789646378663,0.6925276080999406,0.0047818509158953195,0.8759461067864726,91.20811278015756,0.036562990104012316,True,True,True,False,1.28534234156016,3.30458820096891e-05
GM2A,0.875318411072417,0.135010991649453,4.32821074111705e-07,3.5281190309294e-05,7.22368254743853,0.881161661473622,0.0008300822196331,0.888942369195912,0.0970229556223852,4.3032242951479e-12,2.2400238467288103e-09,7.29922622232964,0.920898872263537,1.8597580552015802e-10,0.8843026475862562,0.0787886099942794,3.1180919425438203e-29,0.0,0.0,3.224418877784565e-26,True,True,True,False,0.875318411072417,3.5281190309294e-05
CHIT1,4.28327869340169,0.516859556560376,4.6360604956646e-07,3.69865563941355e-05,4.37309505099584,4.15031822321381,0.0002563985575733,3.0220324171718,0.380019573389542,2.25672007272176e-08,2.0596310145494e-06,3.87400231875338,3.07630291773119,5.72884801174986e-06,3.6040017248011242,0.6287434668487758,9.921215922424709e-09,0.5895917459684032,74.12788286444378,5.515876013644834e-07,True,True,True,False,3.0220324171718,3.69865563941355e-05
SLC28A3,2.28899537330767,0.296927503902907,9.69087656009381e-09,2.09639750816337e-06,0.781421738695922,2.44900498142126,3.32255855710188e-06,1.32116694975533,0.237164506811941,1.14326564247642e-06,4.99720539604577e-05,1.68757954362594,1.26254556490986,0.0002752342014092,1.788591183294705,0.4836331719151426,0.00021710020547582927,0.3961394557852227,84.58266240717708,0.0032395861830094522,True,True,True,False,1.32116694975533,4.99720539604577e-05
RTN4R,1.96544041648415,0.319807458081573,7.62227668773017e-07,5.67834373909117e-05,1.18087427228729,2.05428562215155,0.0001096816597614,1.58813320768431,0.278575132002409,7.26480627106817e-07,3.43787443868895e-05,1.70327912321469,1.6290778719451,0.0001189720585667,1.7509108321539177,0.2100575951679605,7.724672156900642e-17,0.0,0.0,1.9483130432807205e-14,True,True,True,False,1.58813320768431,5.67834373909117e-05
FAM20C,1.0490288480463,0.16343412182712,3.50044582506494e-07,2.93854590195191e-05,4.78328928313675,0.965050401133687,6.01364031830168e-05,0.754733409960486,0.137391829383619,1.49561255028443e-06,6.20570830647003e-05,5.37864373094577,0.814165262184339,2.54297707570641e-06,0.8885710392395482,0.14654450767602545,1.3319973216338101e-09,0.020511288959670887,47.36481969572552,8.717838166465337e-08,True,True,True,False,0.754733409960486,6.20570830647003e-05
NCEH1,0.803847110922922,0.131652703441555,8.54373458566725e-07,6.28159936955365e-05,5.55342227971532,0.79842971390492,9.65088745342104e-05,0.898490127292506,0.123925819924045,3.1308972130795903e-09,4.12126837749282e-07,6.12767928967348,0.908380007947168,7.00053232627074e-08,0.8540273403280934,0.09023683110789492,2.9556830957860494e-21,0.0,0.0,1.3893054042510699e-18,True,True,True,False,0.803847110922922,6.28159936955365e-05
CAMK2B,2.06433327018444,0.341979556765135,1.04226998643426e-06,7.28229507912979e-05,0.166353476368823,2.19810197470813,0.0002724537819048,1.64015514952905,0.246531339727346,2.56361718854931e-08,2.20473520759564e-06,0.923997306096221,1.62479169175743,1.49344118050317e-05,1.786031087300203,0.2014884411374434,7.7064777248784285e-19,0.0010996796648501926,1.2223614997949142,2.570731811386059e-16,True,True,True,False,1.64015514952905,7.28229507912979e-05
