gene,gse176_logFC,gse176_SE,gse176_P.Value,gse176_adj.P.Val,gse176_AveExpr,gse176_sensitivity_logFC,gse176_sensitivity_FDR,gse161_logFC,gse161_SE,gse161_P.Value,gse161_adj.P.Val,gse161_AveExpr,gse161_sensitivity_logFC,gse161_sensitivity_FDR,meta_logFC,meta_SE,meta_p,tau2,I2,meta_FDR,same_positive_direction,sensitivity_same_positive,tier_A,tier_B,min_cohort_logFC
GPNMB,0.957828447762361,0.116094876424779,1.51848550607229e-08,2.95833626351469e-06,9.50864742166091,0.914520458856688,3.52211052942724e-06,0.936855965532142,0.0824429414877643,3.52535782125919e-15,8.07447955381204e-12,9.79053231041503,0.924500166043245,1.94154245957262e-12,0.9438866717508023,0.0672183134587505,8.611517486196185e-45,0.0,0.0,4.4525851162377373e-41,True,True,True,False,0.936855965532142
LPL,2.74761889920292,0.28119142341297,3.2262795946565303e-09,9.80876193521387e-07,4.62949001543887,2.85538395835708,8.9788211168901e-06,2.11333878926773,0.254046583524213,4.76817291221214e-09,5.8090549138993e-07,4.88681572094644,2.18274468832995,2.25810488173964e-06,2.4190257419126207,0.31693318051607466,2.300571480296939e-14,0.12935148732902968,64.30418478333344,4.1737209960966044e-12,True,True,True,False,2.11333878926773
APOC1,0.97655299566775,0.185267556420555,8.65081562037763e-05,0.0018193336076072,11.8555707401905,0.933016850398202,0.0147715060009996,0.870854481681839,0.0856318856874155,1.63777141965775e-12,1.20758078773937e-09,12.0952568886749,0.875865803764101,4.44850012126555e-07,0.8894604844623746,0.0777305021642709,2.5528080525399553e-30,0.0,0.0,2.9331764523684085e-27,True,True,True,False,0.870854481681839
CYP27A1,1.84143785002982,0.254153942419515,1.57958599507269e-06,9.76305651569929e-05,6.65438198316785,1.78550810731209,4.96531927663126e-05,1.26459652176979,0.13572567613118,2.5590261545302498e-12,1.54241934324634e-09,5.86190490511547,1.28740493130639,4.6878083903463e-10,1.512995116550691,0.2856303790954555,1.1769588328931504e-07,0.12486511619007382,75.05132862022265,5.113836676868937e-06,True,True,True,False,1.26459652176979
LIPA,0.796736257639254,0.158319243776101,6.60413805535903e-05,0.0015038451211484,8.58645603173426,0.71591114934246,0.0116155215520057,1.03966362358783,0.0998870395959201,7.155620935149371e-14,9.10513010548117e-11,8.36587743388899,1.0515176880554,4.4193325116950696e-11,0.9492535895338398,0.11742698655084882,6.279103140186675e-16,0.011985650748819989,40.61988896675635,1.298644111453408e-13,True,True,True,False,0.796736257639254
ACP5,1.09625301707197,0.22316204375288,0.0001687007844577,0.0029703905793131,8.86099176340673,0.994543384881779,0.0057904758224883,1.02159220950683,0.101525626357199,2.19029528349657e-13,2.09027179888356e-10,8.54350330669537,1.04694008544892,3.0004083777714195e-11,1.0343950500768224,0.0924117420552913,4.396114239788072e-29,0.0,0.0,4.13274703214986e-26,True,True,True,False,1.02159220950683
TREM2,0.43001086900956,0.175862727333061,0.0253214541237645,0.117119612339424,8.96202881558936,0.495404414664099,0.134870343560352,0.548122879747712,0.0877777797498922,1.08093405306413e-07,6.95441391892722e-06,8.4242216239549,0.532408288344678,3.59170294229262e-06,0.524566481529522,0.07853824931588205,2.403794017457596e-11,0.0,0.0,2.2394264805881982e-09,True,True,False,True,0.43001086900956
APOE,0.536519776616225,0.149357456075148,0.0025643763788167,0.0232446977319179,13.2850905047051,0.525851375711955,0.0492668236706864,0.762427009284392,0.0920067441584075,2.3570884750638804e-09,3.33251570573229e-07,13.2070577136164,0.752949150022949,5.42173921618401e-07,0.680110766865074,0.10871922903771065,3.958328071839365e-10,0.010130593557959469,39.701289805846024,2.882610604992315e-08,True,True,True,False,0.536519776616225
SPP1,0.982681725599471,0.310752849730872,0.0063093896514681,0.0449973038230382,10.921540539126,1.09568923562153,0.0720624447352749,0.210099132093164,0.137349100528339,0.138327731846855,0.347395313010169,12.3092864447688,0.188234828534666,0.457705016167654,0.546102887518686,0.38300408501014005,0.15391427331226604,0.24072587737856485,80.6608762550464,0.39280046898374704,True,True,False,False,0.210099132093164
ARL11,0.0625126698457741,0.136101700348942,0.649169290334441,0.822825814007825,4.76626054505359,0.0836800740242488,0.751488761273988,0.0921725834504854,0.117002963763382,0.434718688296369,0.661727444162177,4.68788521112066,0.147371178254825,0.449296220775466,0.07956802909475849,0.08872425428963493,0.3698249390887124,0.0,0.0,0.6471447993956033,True,True,False,False,0.0625126698457741
