sample,gene_set,requested_n,present_variable_n,present_genes
CID4290,frozen_ARL11_TAM_signature,30,30,CTSB;LPL;VAT1;FABP5;RBP4;MGLL;GPNMB;CES1;PLA2G7;PPARG;PAQR5;HS3ST2;RMDN3;ATP6V0D2;GM2A;CHIT1;SLC28A3;RTN4R;FAM20C;NCEH1;CAMK2B;LGALS3;OTOA;SPOCD1;CYP27A1;SCCPDH;ITGA3;SDC2;RAB7B;HSD3B7
CID4290,generic_macrophage,8,8,C1QA;C1QB;C1QC;CD68;LST1;AIF1;FCER1G;TYROBP
CID4290,SPP1_GPNMB_descriptive,2,2,SPP1;GPNMB
CID4535,frozen_ARL11_TAM_signature,30,30,CTSB;LPL;VAT1;FABP5;RBP4;MGLL;GPNMB;CES1;PLA2G7;PPARG;PAQR5;HS3ST2;RMDN3;ATP6V0D2;GM2A;CHIT1;SLC28A3;RTN4R;FAM20C;NCEH1;CAMK2B;LGALS3;OTOA;SPOCD1;CYP27A1;SCCPDH;ITGA3;SDC2;RAB7B;HSD3B7
CID4535,generic_macrophage,8,8,C1QA;C1QB;C1QC;CD68;LST1;AIF1;FCER1G;TYROBP
CID4535,SPP1_GPNMB_descriptive,2,2,SPP1;GPNMB
CID4465,frozen_ARL11_TAM_signature,30,30,CTSB;LPL;VAT1;FABP5;RBP4;MGLL;GPNMB;CES1;PLA2G7;PPARG;PAQR5;HS3ST2;RMDN3;ATP6V0D2;GM2A;CHIT1;SLC28A3;RTN4R;FAM20C;NCEH1;CAMK2B;LGALS3;OTOA;SPOCD1;CYP27A1;SCCPDH;ITGA3;SDC2;RAB7B;HSD3B7
CID4465,generic_macrophage,8,8,C1QA;C1QB;C1QC;CD68;LST1;AIF1;FCER1G;TYROBP
CID4465,SPP1_GPNMB_descriptive,2,2,SPP1;GPNMB
CID44971,frozen_ARL11_TAM_signature,30,30,CTSB;LPL;VAT1;FABP5;RBP4;MGLL;GPNMB;CES1;PLA2G7;PPARG;PAQR5;HS3ST2;RMDN3;ATP6V0D2;GM2A;CHIT1;SLC28A3;RTN4R;FAM20C;NCEH1;CAMK2B;LGALS3;OTOA;SPOCD1;CYP27A1;SCCPDH;ITGA3;SDC2;RAB7B;HSD3B7
CID44971,generic_macrophage,8,8,C1QA;C1QB;C1QC;CD68;LST1;AIF1;FCER1G;TYROBP
CID44971,SPP1_GPNMB_descriptive,2,2,SPP1;GPNMB
