"cohort","score_type","model","predictor","n","events","parameters","events_per_parameter","logHR","se","HR","CI_low","CI_high","p_value","concordance","ph_chisq","ph_p_value","global_ph_p_value","log_likelihood"
"TCGA-BRCA","consensus","unadjusted","state_score_z",1077,151,1,151,-0.177769405688209,0.0864361357137275,0.837135439904309,0.70667732422324,0.991677135691423,0.0397193178737484,0.558921206691484,3.07208932854587,0.0796470470191727,0.0796470470191727,-852.328856348731
"TCGA-BRCA","consensus","abundance_adjusted","state_residual_z",1077,151,2,75.5,-0.158089329048427,0.0859801337699272,0.853773511786581,0.721366972098607,1.01048320428059,0.0659633336987057,0.565347008758245,7.75456262502596,0.00535770148766727,0.018529584680711,-852.300190985191
"TCGA-BRCA","consensus","clinical","state_residual_z",804,114,5,22.8,-0.0881019859294712,0.109319659047968,0.915667486761452,0.73906856580357,1.13446435839199,0.420293797974285,0.679551490115078,3.58827713179193,0.0581885401135736,0.0359418464350108,-440.969667779871
"TCGA-BRCA","common","unadjusted","common_score_z",1077,151,1,151,-0.165386748535777,0.085885767934229,0.8475658458428,0.71625447692155,1.00295060789952,0.054146898778824,0.552819784055979,2.54207307874387,0.110849159586505,0.110849159586505,-852.602383562734
"TCGA-BRCA","common","abundance_adjusted","common_residual_z",1077,151,2,75.5,-0.142199838755475,0.0850227857450484,0.867447889457097,0.734297193395873,1.02474290749182,0.0944275531583016,0.554657934166422,6.34018533390431,0.0118032548017214,0.0362558539410418,-852.599897418756
"TCGA-BRCA","common","clinical","common_residual_z",804,114,5,22.8,-0.0556755027100597,0.107287006313179,0.945846010564833,0.766474253373389,1.1671946862716,0.603802688984583,0.680633421855021,3.05097672234578,0.0806886038424235,0.0476177161882132,-441.160792284418
"METABRIC","consensus","unadjusted","state_score_z",1979,1143,1,1143,-0.0556529722852012,0.0322293469324507,0.945867321117368,0.887966438205308,1.0075436983474,0.0842072898981978,0.508596228540932,0.272480744864532,0.601672501491254,0.601672501491254,-7851.93337156238
"METABRIC","consensus","abundance_adjusted","state_residual_z",1979,1143,2,571.5,-0.0581575728238283,0.0317899342340204,0.943501265564294,0.886508381431238,1.00415817466298,0.0673346827011323,0.516007946155899,3.32449976053522,0.0682547754318866,0.0302436958746335,-7851.72513959613
"METABRIC","consensus","clinical","state_residual_z",1408,787,9,87.4444444444444,-0.0569226076986262,0.0367669425193579,0.944667176504344,0.878987597783146,1.01525445480159,0.121573972768918,0.670941162979972,0.00963112220218404,0.921822490365283,1.5293286065018e-14,-4391.65071941878
"METABRIC","common","unadjusted","common_score_z",1979,1143,1,1143,-0.0556529722852012,0.0322293469324507,0.945867321117368,0.887966438205308,1.0075436983474,0.0842072898981974,0.508596228540932,0.272480744864531,0.601672501491254,0.601672501491254,-7851.93337156238
"METABRIC","common","abundance_adjusted","common_residual_z",1979,1143,2,571.5,-0.0581575728238283,0.0317899342340204,0.943501265564294,0.886508381431238,1.00415817466298,0.0673346827011323,0.516007946155899,3.32449976053521,0.0682547754318872,0.0302436958746337,-7851.72513959613
"METABRIC","common","clinical","common_residual_z",1408,787,9,87.4444444444444,-0.0569226076986262,0.0367669425193579,0.944667176504344,0.878987597783146,1.01525445480159,0.12157397276892,0.670941162979972,0.00963112220218397,0.921822490365283,1.52932860650133e-14,-4391.65071941878
"GSE96058","consensus","unadjusted","state_score_z",3273,336,1,336,0.0142464007481119,0.0554647743329791,1.01434836434461,0.909861799800807,1.13083394035648,0.797290763876729,0.507514077432683,0.180483729467977,0.670957860273534,0.670957860273534,-2603.20714757472
"GSE96058","consensus","abundance_adjusted","state_residual_z",3273,336,2,168,-0.12222490661922,0.0525261141667601,0.884949315160605,0.798377130439764,0.980908972144348,0.0199686711718305,0.595724767407327,1.54304366480739,0.214165329747365,0.0263266712352632,-2591.3458637579
"GSE96058","consensus","clinical","state_residual_z",3114,316,9,35.1111111111111,0.0264957443667102,0.0560475375039334,1.02684987735586,0.920024102821548,1.146079398781,0.636400830485391,0.776232755245399,1.08458361349256,0.297674428622092,0.371540202903618,-1694.6618710558
"GSE96058","common","unadjusted","common_score_z",3273,336,1,336,-0.0250338584975885,0.0556477749392914,0.975276890059068,0.874501304164764,1.08766563040377,0.652809441559527,0.504467270190866,0.19616738311402,0.657832373243105,0.657832373243105,-2603.13864808216
"GSE96058","common","abundance_adjusted","common_residual_z",3273,336,2,168,-0.142429866229516,0.0527231916299219,0.867248375557942,0.782105667430291,0.961660011209323,0.00690347090302838,0.599079213438609,3.80924879311989,0.0509703053870647,0.00994894592814724,-2590.42194918931
"GSE96058","common","clinical","common_residual_z",3114,316,9,35.1111111111111,0.0114124063439694,0.0569923001499523,1.01147777629271,0.904574646762344,1.13101477649841,0.84128920542121,0.775760611713766,1.85272421100573,0.173466884641246,0.288422724498161,-1694.75326706864
